log2FoldChange,AveExpr,t,pvalue,padj,B,gene
-0.7688047407617784,13.04349314394758,-3.2822437644906906,0.0015520264816061772,0.09256634411065597,-2.635903566663388,RNA45SN1
-0.7689074079738987,13.038654289539673,-3.2794227975821677,0.001565678392638394,0.09284189914419297,-2.6429981912697,RNA18SN1
-0.7723139602701696,11.502815885693582,-3.233454668482863,0.0018046452477918605,0.09892370587372298,-2.4455339155989,RNA45SN3
-0.776925940716783,11.472252058218574,-3.2335838321095753,0.0018039282853295124,0.09892370587372298,-2.439054474738213,RNA18SN3
-1.0183577111642457,10.953397803180899,-3.8658973832526633,0.00023022530496366887,0.039241953063374455,-0.3984071257105182,RNA45SN2
-1.0271876831772833,10.921416776796658,-3.866130783926434,0.0002300412991477244,0.039241953063374455,-0.39165697209374084,RNA18SN2
-0.5143580187317216,9.423656422234787,-3.946612426979684,0.00017432435276240656,0.03381205451067486,0.14193839745627024,HLA-A
-0.38555608368259087,9.018637643653708,-3.5330755923076658,0.0006993929245642187,0.06434088086867183,-1.099610379012228,GRN
0.39614112054215944,8.78051690770495,4.661277546311967,1.3014396915173659e-05,0.011502045636333436,2.7334010509577285,SRP9
0.4177175947256426,8.66968286093115,4.268746922713406,5.5670881279911765e-05,0.02087605028109758,1.3613864137137632,EIF4A2
-1.040081382335945,7.988301490471173,-3.660896122363707,0.0004596454388541499,0.05410299486588793,-0.5526103266509228,LCN2
-0.6760192871959045,8.33714924690091,-4.151680782422239,8.476777164086138e-05,0.023277562600141983,0.9920027845532395,FLNA
-0.4786899739489794,8.382036020864259,-3.4822909103985107,0.0008242615874602787,0.0694644982863246,-1.1524502458729353,MYH9
-0.46193051965499343,8.295922527734428,-4.3088981847295225,4.812588672661446e-05,0.019926578990254292,1.537986868375759,CALR
-1.9593628594076806,6.476122366932155,-3.3033591822958943,0.00145333316422717,0.09016240874895677,-1.4098790326313688,HP
-1.0446979253819952,7.792676729606585,-4.591064956053141,1.6957674374217073e-05,0.011841886013354687,2.590990343418394,VWF
-0.4697597754770255,8.117851749276277,-3.8885348970292823,0.00021301884181294876,0.037409267832574394,0.15513904025649072,MAT2A
-3.493628113451147,2.617870533278291,-3.7948457869111545,0.00029329153642652245,0.04341376298969134,0.19726622575637887,PRB3
0.46113073841856345,7.4293139768441945,3.9651216371480804,0.00016347790859059033,0.033179274086834555,0.5119310928305421,PTEN
-0.49355840936020634,7.393032200287648,-3.2578128716185906,0.0016740594871164822,0.09594529584530476,-1.659038298822347,CD63
0.5790738994654276,7.322351277723945,5.249292815229554,1.320766235293873e-06,0.0033201172204383755,5.09129657322785,CXADR
-0.7887801321025076,7.035853146078114,-3.628020864666,0.0005124821138822937,0.057652773577146946,-0.5204385616015124,TAGLN
-0.5398578887281467,7.2145714817251765,-4.514700954835736,2.2563131463467564e-05,0.013539316816177753,2.3897230349574805,PLEC
-0.4096691026631625,7.181611028062812,-3.509485419308758,0.0007549864862680503,0.06740779571500728,-0.8948078260915908,B4GALT1
-0.7767363497713404,6.987223566548501,-4.24258649438216,6.118840958785639e-05,0.021133617886949625,1.471287315065572,ENG
-1.3371731919215,6.263817007566617,-4.026529874197143,0.0001319396165608839,0.029746702035423622,0.8261894223072206,ATP2A3
-0.4533266382879546,6.9005040204049495,-3.577056403489249,0.0006059451366414312,0.061649828966717606,-0.6555377165202971,TCIRG1
0.7378648064323245,6.696819287725399,3.567240372723993,0.0006257133403417946,0.06300981345938061,-0.6398372398716203,CHL1
0.3986611541324434,6.755902224351279,3.5567179011647503,0.0006475828701559542,0.06326005271658232,-0.6856510105928546,IRF2BP2
0.3930411657774133,6.694157768460096,3.2295342292199836,0.0018265343191761277,0.09906440442298618,-1.6286138144048463,BROX
0.38960114011095204,6.698874720278401,4.647984892628225,1.3685166633927058e-05,0.011502045636333436,2.921876158578499,SSBP2
0.39812519964105064,6.628981064767249,4.2296044949097045,6.411885188417056e-05,0.021344258528124965,1.4776439670369879,ARF6
-2.7885215609630913,1.7648817273191593,-3.312509968409166,0.00141242083615059,0.08926590369597645,-1.1503214344086983,PRB1
-0.9021485559826727,6.581541645195708,-5.404796110120433,7.075255826835435e-07,0.0023215093577151533,5.724358446531349,CST3
-0.39234917881752196,6.650805110957968,-3.2955677444575806,0.0014890430699670027,0.09101917323254315,-1.4487909337594722,GUK1
0.9681027785950445,6.009925058436939,3.251191735295897,0.0017086503102500762,0.09750202509534275,-1.470563219436304,GJB2
0.38820722216625825,6.543962118288899,3.7069189110970093,0.0003943174028874459,0.05073808307611207,-0.2030421636109816,RAI14
-0.380706484045084,6.55426694101308,-4.066644781422295,0.00011458804397996596,0.02744900909163653,0.9333847791148067,GAK
-0.4781524194719866,6.53359465984809,-4.668932063561797,1.2642761164507604e-05,0.011502045636333436,3.001616870611045,TRNL1
-0.45838709686769974,6.5038735385742195,-4.501145453105164,2.3730562303708724e-05,0.013541553045597496,2.4117566660970144,PCSK7
-0.696869408052966,6.300490274003011,-3.5086062151418442,0.0007571372379406331,0.06744688146306446,-0.7898028947243443,LTBP4
0.3968272755639477,6.4951176449790395,5.0403426539061975,3.019137419914793e-06,0.004835081574644499,4.362343933318231,SCOC
0.5053823619734086,6.386180986832609,3.9601524008352067,0.00016632458004837508,0.033412571504207754,0.6155788052574636,HPS3
-0.3956597884711819,6.4319782170566295,-3.6048723537643452,0.000553096199657938,0.059417882666935984,-0.5131518651480365,MYO1C
0.49029739562193164,6.39636403394016,5.664400964206318,2.4573097260941696e-07,0.0016125685525871971,6.739857225266548,ATP13A3
