log2FoldChange,AveExpr,t,pvalue,padj,B,gene
-1.0183577111642457,10.953397803180899,-3.8658973832526633,0.00023022530496366887,0.039241953063374455,-0.3984071257105182,RNA45SN2
-1.0271876831772833,10.921416776796658,-3.866130783926434,0.0002300412991477244,0.039241953063374455,-0.39165697209374084,RNA18SN2
-1.0446979253819952,7.792676729606585,-4.591064956053141,1.6957674374217073e-05,0.011841886013354687,2.590990343418394,VWF
-3.493628113451147,2.617870533278291,-3.7948457869111545,0.00029329153642652245,0.04341376298969134,0.19726622575637887,PRB3
-1.3371731919215,6.263817007566617,-4.026529874197143,0.0001319396165608839,0.029746702035423622,0.8261894223072206,ATP2A3
-1.0346790536995512,5.5641313048629435,-4.824605373924204,6.979593363185754e-06,0.009160483636069196,3.6131499649424104,MYL9
-1.5867233318224088,4.421532554431767,-4.738724384345874,9.697606974652084e-06,0.010512470517803211,3.3160370432957826,TRNY
-1.6346046611550769,3.7817484250098827,-4.781055632444406,8.249185367270927e-06,0.009553041901497809,3.4234080384104173,TRNC
-1.654606008112319,3.6107783722049813,-4.802954092141849,7.584954802150705e-06,0.009255907360139133,3.4801483445115,TRNN
-1.7542657562376185,2.515273151449896,-3.773193974480181,0.0003155852495537357,0.04485867731382234,0.13964059677655705,HPR
-1.043347010196296,3.380815442379552,-4.022340037790828,0.00013389107141302395,0.02978433359218308,0.9335455654526532,CBR3
-1.5837749586574703,2.7556471648155636,-4.626745590715005,1.4827274605251025e-05,0.011841886013354687,2.7630020403906865,TRNA
-1.1376085469415371,2.247405721248111,-3.801833522753513,0.00028642346290081496,0.04341376298969134,0.19140941103442266,CCDC85B
-1.0843798756781726,2.309191969982431,-3.790309470046893,0.0002978340569707164,0.04343303021912959,0.1665472704355091,PLPPR4
-1.474848544224257,2.0088706811495394,-4.749890627001934,9.293120982572116e-06,0.01045449558765127,2.9647747914970264,TESC
-1.0642365517429089,1.5769487558098871,-3.7806865074597042,0.0003076935828568526,0.04421579245038582,0.03262347218914208,CCL14
1.9258402000845514,0.7293775255765778,3.861416878843335,0.00023378501304449251,0.039337825229119015,-0.016780348909843923,BSND
-1.697425041787263,0.8367781341515284,-4.188818222882054,7.423322686172813e-05,0.021838846026594985,0.9774943439394486,PTGDS
-1.37918906456259,0.8263304288087737,-3.8702295554747295,0.00022683279715144097,0.03917243225895104,0.12176485713915053,CLEC3B
-1.265213218698114,0.7956419449603453,-3.892644293062334,0.00021003034041104293,0.0373705729731718,0.17119927333993612,VWCE
-1.6898588252182227,0.23369115249634426,-4.149557966726828,8.541156854007141e-05,0.023277562600141983,0.7074096126093501,RAB3C
-1.6783032446766941,-0.05101185373072613,-4.269924498342606,5.543416914575473e-05,0.02087605028109758,0.9380153320363522,HSPB6
-1.4968726588416956,0.09543430657203894,-4.132179079741337,9.08622142434494e-05,0.023796239311790736,0.6190382291046523,SSPOP
-1.0205880508240008,0.1822250097514695,-3.797771798024965,0.00029039670611685504,0.04341376298969134,-0.21175114356826885,RAC3
-1.172037912973432,-0.22330117108748937,-4.375288437748572,3.77673978155802e-05,0.017092569213685686,1.1383020815799751,OTUD7A
-1.0619062089341802,-0.47749367325231495,-3.9843862871867217,0.00015287748541534547,0.03202342457501873,0.09358031960932056,LOC100289580
-1.0361403916587353,-0.778222304236219,-3.85325175693476,0.00024040794546035293,0.039940179090953314,-0.27599160068875506,COL4A2-AS2
-1.0862755521735779,-1.8196303277878259,-4.583197865892207,1.7465936562489732e-05,0.011841886013354687,1.466573526074292,ARHGEF17-AS1
-1.2127712686471648,-2.5387852297156397,-3.7256455094727046,0.0003703530763009236,0.048933832302928075,-0.42753514774899326,LINC01537
-1.3304570601435755,-2.377783582482313,-3.848686587617975,0.0002441886950719759,0.039945314435386486,-0.160984241010949,C20orf204
1.0710603143712292,-3.085267665901941,4.5749069385220205,1.8017589737653226e-05,0.011841886013354687,2.3326560337291182,TBX18-AS1
