baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
189065.47330048235,-0.03498137839007747,0.13569374813014726,-0.2577965372179561,0.7965639370858297,0.9147048277110175,RNR2
136927.4104897007,0.11857799384664015,0.35406998679803803,0.33489987366333085,0.7377006174067144,0.8870797743152546,BPIFA1
128834.34957508519,0.008815129014096352,0.3048136378306278,0.02891973297794028,0.9769286075626964,0.9915089740565416,BPIFB1
110155.39487572535,-0.38285449027232166,0.2326452219797454,-1.6456580840747022,0.09983417335305798,0.3516783996363882,COX1
107791.4823739067,-0.2150279134254331,0.2378250362661035,-0.9041433013168446,0.36591942023065716,0.6561525405061456,RNA45SN5
107271.90042445289,-0.2155122387875806,0.23812433810521008,-0.905040788784728,0.36544377873305145,0.656125216584833,RNA18SN5
85298.7688181344,-0.2239525510357098,0.2448526345213485,-0.9146421947777065,0.3603794998185892,0.6513755901893465,RNA45SN1
85054.55174754227,-0.22342600673379204,0.24504519415333778,-0.9117746932591647,0.3618873348363657,0.6524807519972853,RNA18SN1
79172.56657072566,-0.36091671822570104,0.470082335787541,-0.7677734106325182,0.4426218139251935,0.7143334261996004,LTF
67459.64589650811,0.07595052288449675,0.15232492686349333,0.4986086285966849,0.618055125254426,0.8268246707196631,CYTB
66948.14154868276,0.12014933718300183,0.13425558873367713,0.8949298745495216,0.37082457569314964,0.6600927387515003,ND4
67963.85678104544,-0.6432676715849287,0.4877891310032182,-1.318741297621666,0.18725561529062285,0.47832919922759004,LYZ
62200.55376335337,0.15172282808962215,0.08310140578195489,1.8257552524167782,0.06788713638830725,0.2903250529524426,EEF1A1
56518.24704135659,-0.687113917468281,0.3029006773634017,-2.2684462888933186,0.02330201918350568,0.16627645468990251,PIGR
54277.539175628706,-0.35922508001688247,0.2780740056418221,-1.291832651483391,0.19641510518226923,0.4881666551894412,IGHA1
42580.17574453568,0.3164642144915017,0.3540522558259222,0.8938347638917417,0.37141030600523983,0.6604995861420866,IGHG1
42074.02995725379,-0.28963202339732225,0.3597495126060744,-0.8050935810842063,0.420765679641088,0.6982154084941905,IGKC
36015.71024128195,0.05787938528358394,0.12472531209258286,0.4640548443015354,0.6426084526381997,0.840426421411456,ND5
33335.6744003302,-1.1558075582899343,0.48074539889458623,-2.4041988981019244,0.01620795211848694,0.13758825013038734,DMBT1
33321.608277826475,-0.22641247853004187,0.2361032147320189,-0.9589555092971683,0.33758115882828066,0.631708889086776,RNA45SN4
32318.158873831406,-0.2244150328940505,0.23705145070941547,-0.9466933537949318,0.3437950581089704,0.6374277888146583,RNA18SN4
29900.171578894457,-0.24087997219164187,0.18577258171541416,-1.2966389871280735,0.19475543135630924,0.4867474375894042,B2M
28553.257839195692,-0.16025075880889855,0.09217441055125579,-1.7385601692542128,0.08211215779776752,0.3217418976559752,ACTB
29510.38691646769,-0.2183379068867183,0.24740050267078134,-0.8825281457785195,0.37749126615189543,0.665816271568841,RNA45SN3
28983.369683929068,-0.21893763443629352,0.24859204094799886,-0.8807105553395069,0.3784745022233026,0.6663880357699511,RNA18SN3
19963.509098860344,0.23612434805791546,0.32131885574694036,0.7348599182236564,0.46242481114369627,0.7279352074831237,SERPINB3
20799.335927046686,0.14032347031374365,0.35569164462809943,0.39450876182504,0.69320545966242,0.8662099556784671,LOC105372593
21318.045559861897,-0.33253530916393187,0.26614933063196516,-1.2494313187800803,0.21150735938490994,0.5059253462622009,RNA45SN2
20956.84153285518,-0.3318443639107131,0.2679013567084631,-1.2386811623049536,0.21546359760750722,0.5105733984897606,RNA18SN2
19973.99772673957,-0.3260796237252381,0.4030063057715413,-0.8091179196339625,0.4184473217537047,0.6966738099075708,MUC5B
18704.609141269535,-0.027334928785456358,0.2757641842031454,-0.09912428934324449,0.9210395869511364,0.9690717791013961,JCHAIN
18694.416610329066,-0.002759788958705412,0.1113609596617076,-0.02478237406618173,0.9802285501988501,0.9933681737369929,ACTG1
17376.08572980065,-1.2130101138077736,0.43573777049864715,-2.7838075923958483,0.005372489411594423,0.07509546310873093,MUC5AC
18145.296450870737,-0.4551999313618933,0.1811627115801797,-2.512657971342127,0.011982544440210534,0.1171836968228826,CD74
16484.440988927505,-0.12683564137737743,0.14083615577034822,-0.9005900557538614,0.3678063238091387,0.6576184698008761,SAT1
16741.545422689564,-0.06500685635946908,0.2708709195961989,-0.23999200968630413,0.8103364509670448,0.92183612033978,AQP3
17158.165796851237,0.14007168864244227,0.15990106606153875,0.875989710966248,0.38103562726970197,0.668492903312936,COX3
16341.599896647123,0.024460247287723554,0.14482172992095774,0.1688990132977538,0.8658760753227079,0.9477423692183029,ANXA2
9194.50095927654,0.14256455814057914,0.3807754705106945,0.37440583541101574,0.708102402118945,0.8735157781564786,IGHG2
15400.410825447183,0.08734776931332262,0.1523127607426193,0.5734763711684301,0.5663221933937578,0.7975883563027142,ATP6
14398.170786475815,-0.16871415019611935,0.11784009450526683,-1.431721103962444,0.15222365419467523,0.4333303696979124,GLUL
14276.362853902572,-0.012328423014604595,0.19406243069757836,-0.0635281283981075,0.9493459612537489,0.9814901538931756,KRT19
15032.771762826656,-0.2132711833009322,0.1730034848337389,-1.2327565742730076,0.2176665974834685,0.512166279429529,ND1
15470.546075641532,-0.4528679260339122,0.3569596469250658,-1.2686810118034988,0.20455485746879243,0.4986242650281756,IGHG3
14115.6398061182,0.0031639025794203512,0.1253690741567135,0.025236706904809864,0.9798661583961724,0.9930649227107379,RPL3
15928.132027147496,-0.1887675183392392,0.6185241074648282,-0.3051902360167478,0.7602212684351558,0.8972215106759353,STATH
