gene,log2FoldChange,AveExpr,t,pvalue,padj,B
A4GALT                   ,0.7517223198357199,-0.04922947535691739,3.8579853614998676,0.00027227201177543837,0.006561188944718275,0.33451713304213104
AADAC                    ,-0.5990745822420065,-4.370411794795016,-2.51124926016447,0.014618029328480726,0.06985999157919462,-2.9829626186662814
AADACP1                  ,-0.6865191454697017,-4.257606726407189,-2.4728297112742745,0.016126303614752882,0.07381022098506444,-3.05823664332978
AATBC                    ,0.7576619169700716,0.5087675311620358,3.853880237903641,0.0002759863134181066,0.0066142648065437406,0.31922553994767977
AATK                     ,0.6117506734782436,6.230403223092647,6.448559319768319,1.8345426610548704e-08,7.851842589314845e-06,9.223815556508827
ABCB11                   ,-0.7110700407436004,-1.794407261182059,-2.8779898088770803,0.005464629845443993,0.036763338055638944,-2.204386839684425
ACP4                     ,0.6191584888003416,-1.2390895952406547,2.9312626152216392,0.00470479449978878,0.036763338055638944,-2.0883179967977816
ACR                      ,0.6769281253419126,-3.0345016683525086,2.4346326789450052,0.017763263992855438,0.07825534604863232,-3.1236917321990343
ACTL10                   ,0.7175361896893826,-0.27553741105545604,4.746523775649379,1.239547496790221e-05,0.00078470132208379,3.0356354239438925
ACTR3BP2                 ,-0.6497596127430203,-4.82779593191154,-3.1590360000789697,0.0024352476847701696,0.026264122934952124,-1.5506756052337218
ADAM33                   ,0.7032942180289339,2.0398534058404674,3.9393953067028082,0.00020779947341901088,0.005528589233342549,0.5024076327921607
ADAMTS14                 ,0.7483213513578413,0.8692857816954904,2.4333987569665965,0.01781854693500551,0.07842869484828717,-3.3542715976561914
ADAMTS2                  ,0.6359636604639427,1.2932491447150165,3.6123452291144558,0.0006043247928421891,0.011140399364678857,-0.41990699434843926
ADAMTS9-AS1              ,-0.8196638760757667,0.6683287469488607,-3.1776892723490913,0.002304423319109173,0.02578963435828033,-1.5721042652977184
ADAT3                    ,0.6648274603579268,-0.04528193201686474,5.33552820066229,1.390377511986281e-06,0.0001732515978226956,4.999800226473498
ADGRF5-AS1               ,-0.9241682476665216,-2.286118312938102,-3.540639888535754,0.0007586224275653107,0.012950300317375377,-0.626281219546124
ADORA2A                  ,0.6099388770474456,0.19276428074271879,4.514028015180208,2.859657016989879e-05,0.0014491873191891053,2.335730182114344
AGRN                     ,0.6746171366904452,5.833855280697094,7.466579054482387,3.126444906589295e-10,3.730511958844245e-07,13.15514622307377
AGXT2                    ,-0.7290649773079947,-4.392333132806721,-2.6602305566401414,0.009900465850883639,0.054151401867266365,-2.67663399486166
AIRE                     ,1.1620375012410573,-0.9472471419790583,4.495182813387798,3.0577550078735426e-05,0.0015186336582409716,2.1684242099660205
AJM1                     ,0.6660615422810205,3.171565022999005,4.772323678145614,1.1285445252753239e-05,0.0007393938307361257,3.1524618583589614
AKR1C8                   ,-0.7022368899960307,-3.9639651846538224,-2.4285851273128465,0.018035688751887963,0.07897834522846313,-3.141157754991361
ALOX12B                  ,0.674162722334055,-0.7775273501439455,3.572358399955513,0.00068623907483615,0.012166298879220282,-0.475593167481998
ALS2CL                   ,0.6866549128153601,3.52561264922309,3.968840290772367,0.00018831803873742333,0.005131633974619225,0.4916175108539633
AMH                      ,0.9915451435050768,-0.6335741839292872,4.275540406243692,6.613353280652278e-05,0.002515699025659003,1.5389902029476303
AMIGO3                   ,0.6628793553846157,1.636021119981606,4.786163799275722,1.0730640560446232e-05,0.0007161520384883573,3.2531106623668373
ANGPTL8                  ,0.6833366400614551,-2.2261753477423767,2.4955134197016564,0.015219685376042489,0.07166830080926202,-3.012072124734325
ANKRD26P1                ,-0.8712671776226895,-3.344124163202373,-2.6232460413516954,0.010920306466406496,0.05783429555093775,-2.7481415748314473
ANKRD60                  ,-0.7692269079768899,-4.559158219924903,-3.2219893058249363,0.0020196637462616676,0.024037371670709996,-1.4012663930592746
ANKRD65                  ,0.681400677922865,2.696254954949967,4.184063455596471,9.071260053099937e-05,0.0031509586753811812,1.2260322418994605
ANO8                     ,0.5970522188849383,4.332982904222808,6.901954179229583,3.0128422134408793e-09,2.081292543797334e-06,10.973287154374194
ANO9                     ,0.7463795230249439,-2.1650071640633017,2.6952130768151665,0.009016563654052432,0.05115392094286943,-2.6020211441075634
ANPEP                    ,1.0618754731786453,-0.861769431851412,4.27708694205248,6.577934064059422e-05,0.0025049587205648338,1.5221228420232258
AOAH-IT1                 ,-0.5858360242153968,-2.5298553780884396,-2.3121784747903837,0.024061992006812152,0.0934291487289454,-3.355423969053282
APC2                     ,0.767933811670602,7.095263421342237,8.980733699525919,7.231710836112393e-13,7.11889614706904e-09,19.021683215148222
APLNR                    ,0.666589651513358,2.9450649608241677,2.2807864517751044,0.02596728705569218,0.09829081070966941,-3.9223111810836007
APOB                     ,-0.7845930615044336,0.44422513870649416,-3.981803373066578,0.00018030990038816748,0.004982373780831216,0.6985792495359551
APOBEC3H                 ,0.7592418941470558,-2.361656669310519,2.948607804395085,0.004479348703197194,0.036763338055638944,-2.0466580005653596
APOBEC4                  ,-0.5867037462985472,1.6027926876879361,-4.908711793654821,6.85018616824764e-06,0.0005177215557791154,3.668032874812587
AREG                     ,-0.8614001781178398,-3.0509594315140456,-2.306201457908544,0.024414895652037364,0.09437134889512351,-3.364892092510395
ARGFX                    ,0.6328015714267659,-1.8866154496069591,2.6486881914912437,0.010209014914402426,0.05532722078695349,-2.7032220003350247
ARGFXP2                  ,0.6118247728668468,0.06159889209302268,4.0211380213191,0.00015796702370483748,0.00460538775306858,0.8150254939057104
ARHGEF16                 ,0.7465488295820506,-0.20691679146549538,4.285943520474306,6.378610857503463e-05,0.002454983960569066,1.6025396528380025
ASAP1-IT1                ,-0.7778725983523437,0.820177321771869,-5.374418129588733,1.1997098836889547e-06,0.00015906083493086055,5.243340093954016
ASB18                    ,-0.6304568269519418,-1.2762923327604692,-3.047816181069692,0.003371236134256399,0.03218113873994161,-1.8137631530869323
