"","Sinusitis"
"MEgreenyellow",0.757580646488705
"MEred",0.590304706136845
"MEblue",0.145129547030987
"MEbrown",0.226904420859031
"MEturquoise",0.0572467186162452
"MEblack",0.316319871435772
"MEsalmon",0.257044346988753
"MEpurple",0.750201310748805
"MEpink",0.411718255252888
"MEtan",0.348491543838881
"MEyellow",0.42554818565358
"MEgreen",0.701025267069346
"MEmagenta",0.790818789536469
"MEgrey",0.769804461748988
