"","Sinusitis"
"MEgreenyellow",0.0362378558396859
"MEred",-0.0631672581946455
"MEblue",0.169862103505244
"MEbrown",0.141201993749843
"MEturquoise",0.22054979825695
"MEblack",-0.117276551442196
"MEsalmon",-0.132521928758326
"MEpurple",-0.037377597493078
"MEpink",-0.096181750268333
"MEtan",0.109771498757076
"MEyellow",-0.0933773953257698
"MEgreen",-0.0450676223229809
"MEmagenta",0.0311438065220233
"MEgrey",0.0343571645657958
