"","MDD"
"MEturquoise",-0.124329317758466
"MEyellow",0.0416547688454697
"MEbrown",0.0853806645127993
"MEblack",0.0484562941240741
"MEred",-0.18217186874306
"MEpink",-0.179946657958784
"MEblue",-0.304915528700608
"MEgreen",0.322481306102493
"MEgrey",0.241994552137031
