"","MDD"
"MEturquoise",0.348138797709992
"MEyellow",0.754093376777841
"MEbrown",0.520246815095509
"MEblack",0.715521674905923
"MEred",0.167298719680135
"MEpink",0.172635293717583
"MEblue",0.0188639350980369
"MEgreen",0.0127395787955953
"MEgrey",0.0648087163269956
